Pclass,Embarked,cabine_prefix,Ticket_str,NameTitle,Fare,SibSp,Parch,Age_Mean,Ticket_int,Survived,PassengerId,ReferenceDate,dataset
1,S,D,missing,Mr,77.2875,0.0,1.0,21.0,35281.0,0,103,1912-04,train
3,S,missing,missing,Mr,8.6542,0.0,0.0,33.0,7540.0,0,104,1912-06,train
3,S,missing,missing,Mr,7.925,2.0,0.0,37.0,3101276.0,0,105,1912-04,train
3,S,missing,missing,Mr,7.8958,0.0,0.0,28.0,349207.0,0,106,1912-04,train
3,S,missing,missing,Miss,7.65,0.0,0.0,21.0,343120.0,1,107,1912-04,train
3,S,missing,missing,Mr,7.775,0.0,0.0,29.69911764705882,312991.0,1,108,1912-04,train
3,S,missing,missing,Mr,7.8958,0.0,0.0,38.0,349249.0,0,109,1912-07,test
3,Q,missing,missing,Miss,24.15,1.0,0.0,29.69911764705882,371110.0,1,110,1912-04,train
1,S,C,missing,Mr,52.0,0.0,0.0,47.0,110465.0,0,111,1912-06,train
3,C,missing,missing,Miss,14.4542,1.0,0.0,14.5,2665.0,0,112,1912-05,train
3,S,missing,missing,Mr,8.05,0.0,0.0,22.0,324669.0,0,113,1912-06,train
3,S,missing,missing,Miss,9.825,1.0,0.0,20.0,4136.0,0,114,1912-04,train
3,C,missing,missing,Miss,14.4583,0.0,0.0,17.0,2627.0,0,115,1912-05,train
3,S,missing,STONO,Mr,7.925,0.0,0.0,21.0,23101294.0,0,116,1912-06,train
3,Q,missing,missing,Mr,7.75,0.0,0.0,70.5,370369.0,0,117,1912-06,train
2,S,missing,missing,Mr,21.0,1.0,0.0,29.0,11668.0,0,118,1912-04,train
1,C,B,PC,Mr,247.5208,0.0,1.0,24.0,17558.0,0,119,1912-05,train
3,S,missing,missing,Miss,31.275,4.0,2.0,2.0,347082.0,0,120,1912-05,train
2,S,missing,SOC,Mr,73.5,2.0,0.0,21.0,14879.0,0,121,1912-06,train
3,S,missing,A,Mr,8.05,0.0,0.0,29.69911764705882,454510.0,0,122,1912-05,train
2,C,missing,missing,Mr,30.0708,1.0,0.0,32.5,237736.0,0,123,1912-06,train
2,S,E,missing,Miss,13.0,0.0,0.0,32.5,27267.0,1,124,1912-06,train
1,S,D,missing,Mr,77.2875,0.0,1.0,54.0,35281.0,0,125,1912-07,test
3,C,missing,missing,Master,11.2417,1.0,0.0,12.0,2651.0,1,126,1912-06,train
3,Q,missing,missing,Mr,7.75,0.0,0.0,29.69911764705882,370372.0,0,127,1912-07,test
3,S,missing,CA,Mr,7.1417,0.0,0.0,24.0,17369.0,1,128,1912-07,test
3,C,F,missing,Miss,22.3583,1.0,1.0,29.69911764705882,2668.0,1,129,1912-04,train
3,S,missing,missing,Mr,6.975,0.0,0.0,45.0,347061.0,0,130,1912-04,train
3,C,missing,missing,Mr,7.8958,0.0,0.0,33.0,349241.0,0,131,1912-06,train
3,S,missing,SOTONOQ,Mr,7.05,0.0,0.0,20.0,3101307.0,0,132,1912-07,test
3,S,missing,A,Mrs,14.5,1.0,0.0,47.0,53337.0,0,133,1912-06,train
2,S,missing,missing,Mrs,26.0,1.0,0.0,29.0,228414.0,1,134,1912-07,test
2,S,missing,CA,Mr,13.0,0.0,0.0,25.0,29178.0,0,135,1912-05,train
2,C,missing,SCPARIS,Mr,15.0458,0.0,0.0,23.0,2133.0,0,136,1912-06,train
1,S,D,missing,Miss,26.2833,0.0,2.0,19.0,11752.0,1,137,1912-04,train
1,S,C,missing,Mr,53.1,1.0,0.0,37.0,113803.0,0,138,1912-06,train
3,S,missing,missing,Mr,9.2167,0.0,0.0,16.0,7534.0,0,139,1912-05,train
1,C,B,PC,Mr,79.2,0.0,0.0,24.0,17593.0,0,140,1912-07,test
3,C,missing,missing,Mrs,15.2458,0.0,2.0,29.69911764705882,2678.0,0,141,1912-04,train
3,S,missing,missing,Miss,7.75,0.0,0.0,22.0,347081.0,1,142,1912-05,train
3,S,missing,STONO,Mrs,15.85,1.0,0.0,24.0,23101279.0,1,143,1912-04,train
3,Q,missing,missing,Mr,6.75,0.0,0.0,19.0,365222.0,0,144,1912-07,test
2,S,missing,missing,Mr,11.5,0.0,0.0,18.0,231945.0,0,145,1912-05,train
2,S,missing,CA,Mr,36.75,1.0,1.0,19.0,33112.0,0,146,1912-04,train
3,S,missing,missing,Mr,7.7958,0.0,0.0,27.0,350043.0,1,147,1912-05,train
3,S,missing,WC,Miss,34.375,2.0,2.0,9.0,6608.0,0,148,1912-07,test
2,S,F,missing,Mr,26.0,0.0,2.0,36.5,230080.0,0,149,1912-07,test
2,S,missing,missing,LOW,13.0,0.0,0.0,42.0,244310.0,0,150,1912-05,train
2,S,missing,LOW,LOW,12.525,0.0,0.0,51.0,1166.0,0,151,1912-07,test
1,S,C,missing,Mrs,66.6,1.0,0.0,22.0,113776.0,1,152,1912-05,train
3,S,missing,A,Mr,8.05,0.0,0.0,55.5,511206.0,0,153,1912-04,train
3,S,missing,A,Mr,14.5,0.0,2.0,40.5,5851.0,0,154,1912-07,test
3,S,missing,LOW,Mr,7.3125,0.0,0.0,29.69911764705882,265302.0,0,155,1912-06,train
1,C,missing,PC,Mr,61.3792,0.0,1.0,51.0,17597.0,0,156,1912-07,test
3,Q,missing,missing,Miss,7.7333,0.0,0.0,16.0,35851.0,1,157,1912-04,train
3,S,missing,SOTONOQ,Mr,8.05,0.0,0.0,30.0,392090.0,0,158,1912-06,train
3,S,missing,missing,Mr,8.6625,0.0,0.0,29.69911764705882,315037.0,0,159,1912-05,train
3,S,missing,CA,Master,69.55,8.0,2.0,29.69911764705882,2343.0,0,160,1912-05,train
3,S,missing,missing,Mr,16.1,0.0,1.0,44.0,371362.0,0,161,1912-04,train
2,S,missing,CA,Mrs,15.75,0.0,0.0,40.0,33595.0,1,162,1912-06,train
3,S,missing,missing,Mr,7.775,0.0,0.0,26.0,347068.0,0,163,1912-04,train
3,S,missing,missing,Mr,8.6625,0.0,0.0,17.0,315093.0,0,164,1912-04,train
3,S,missing,missing,Master,39.6875,4.0,1.0,1.0,3101295.0,0,165,1912-06,train
3,S,missing,missing,Master,20.525,0.0,2.0,9.0,363291.0,1,166,1912-06,train
1,S,E,missing,Mrs,55.0,0.0,1.0,29.69911764705882,113505.0,1,167,1912-05,train
3,S,missing,missing,Mrs,27.9,1.0,4.0,45.0,347088.0,0,168,1912-07,test
1,S,missing,PC,Mr,25.925,0.0,0.0,29.69911764705882,17318.0,0,169,1912-06,train
3,S,missing,missing,Mr,56.4958,0.0,0.0,28.0,1601.0,0,170,1912-05,train
1,S,B,missing,Mr,33.5,0.0,0.0,61.0,111240.0,0,171,1912-04,train
3,Q,missing,missing,Master,29.125,4.0,1.0,4.0,382652.0,0,172,1912-04,train
3,S,missing,missing,Miss,11.1333,1.0,1.0,1.0,347742.0,1,173,1912-05,train
3,S,missing,STONO,Mr,7.925,0.0,0.0,21.0,23101280.0,0,174,1912-07,test
1,C,A,missing,Mr,30.6958,0.0,0.0,56.0,17764.0,0,175,1912-05,train
3,S,missing,missing,Mr,7.8542,1.0,1.0,18.0,350404.0,0,176,1912-04,train
3,S,missing,missing,Master,25.4667,3.0,1.0,29.69911764705882,4133.0,0,177,1912-07,test
1,C,C,PC,Miss,28.7125,0.0,0.0,50.0,17595.0,0,178,1912-05,train
2,S,missing,missing,Mr,13.0,0.0,0.0,30.0,250653.0,0,179,1912-06,train
3,S,missing,LINE,Mr,0.0,0.0,0.0,36.0,0.0,0,180,1912-04,train
3,S,missing,CA,Miss,69.55,8.0,2.0,29.69911764705882,2343.0,0,181,1912-05,train
2,C,missing,SCPARIS,Mr,15.05,0.0,0.0,29.69911764705882,2131.0,0,182,1912-07,test
3,S,missing,missing,Master,31.3875,4.0,2.0,9.0,347077.0,0,183,1912-05,train
2,S,F,missing,Master,39.0,2.0,1.0,1.0,230136.0,1,184,1912-07,test
3,S,missing,missing,Miss,22.025,0.0,2.0,4.0,315153.0,1,185,1912-04,train
1,S,A,missing,Mr,50.0,0.0,0.0,29.69911764705882,113767.0,0,186,1912-07,test
3,Q,missing,missing,Mrs,15.5,1.0,0.0,29.69911764705882,370365.0,1,187,1912-06,train
1,S,missing,missing,Mr,26.55,0.0,0.0,45.0,111428.0,1,188,1912-07,test
3,Q,missing,missing,Mr,15.5,1.0,1.0,40.0,364849.0,0,189,1912-04,train
3,S,missing,missing,Mr,7.8958,0.0,0.0,36.0,349247.0,0,190,1912-06,train
2,S,missing,missing,Mrs,13.0,0.0,0.0,32.0,234604.0,1,191,1912-07,test
2,S,missing,missing,Mr,13.0,0.0,0.0,19.0,28424.0,0,192,1912-06,train
3,S,missing,missing,Miss,7.8542,1.0,0.0,19.0,350046.0,1,193,1912-04,train
2,S,F,missing,Master,26.0,1.0,1.0,3.0,230080.0,1,194,1912-05,train
1,C,B,PC,Mrs,27.7208,0.0,0.0,44.0,17610.0,1,195,1912-05,train
1,C,B,PC,Miss,146.5208,0.0,0.0,58.0,17569.0,1,196,1912-06,train
3,Q,missing,missing,Mr,7.75,0.0,0.0,29.69911764705882,368703.0,0,197,1912-05,train
3,S,missing,missing,Mr,8.4042,0.0,1.0,42.0,4579.0,0,198,1912-06,train
3,Q,missing,missing,Miss,7.75,0.0,0.0,29.69911764705882,370370.0,1,199,1912-07,test
2,S,missing,missing,Miss,13.0,0.0,0.0,24.0,248747.0,0,200,1912-05,train
3,S,missing,missing,Mr,9.5,0.0,0.0,28.0,345770.0,0,201,1912-06,train
3,S,missing,CA,Mr,69.55,8.0,2.0,29.69911764705882,2343.0,0,202,1912-04,train
3,S,missing,missing,Mr,6.4958,0.0,0.0,34.0,3101264.0,0,203,1912-07,test
3,C,missing,missing,Mr,7.225,0.0,0.0,45.5,2628.0,0,204,1912-06,train
3,S,missing,A,Mr,8.05,0.0,0.0,18.0,53540.0,1,205,1912-07,test
3,S,G,missing,Miss,10.4625,0.0,1.0,2.0,347054.0,0,206,1912-05,train
3,S,missing,missing,Mr,15.85,1.0,0.0,32.0,3101278.0,0,207,1912-04,train
3,C,missing,missing,Mr,18.7875,0.0,0.0,26.0,2699.0,1,208,1912-04,train
3,Q,missing,missing,Miss,7.75,0.0,0.0,16.0,367231.0,1,209,1912-04,train
1,C,A,missing,Mr,31.0,0.0,0.0,40.0,112277.0,1,210,1912-05,train
3,S,missing,SOTONOQ,Mr,7.05,0.0,0.0,24.0,3101311.0,0,211,1912-05,train
2,S,missing,FCC,Miss,21.0,0.0,0.0,35.0,13528.0,1,212,1912-05,train
3,S,missing,A,Mr,7.25,0.0,0.0,22.0,521174.0,0,213,1912-05,train
2,S,missing,missing,Mr,13.0,0.0,0.0,30.0,250646.0,0,214,1912-06,train
3,Q,missing,missing,Mr,7.75,1.0,0.0,29.69911764705882,367229.0,0,215,1912-06,train
1,C,D,missing,Miss,113.275,1.0,0.0,31.0,35273.0,1,216,1912-06,train
3,S,missing,STONO,Miss,7.925,0.0,0.0,27.0,23101283.0,1,217,1912-06,train
2,S,missing,missing,Mr,27.0,1.0,0.0,42.0,243847.0,0,218,1912-06,train
1,C,D,missing,Miss,76.2917,0.0,0.0,32.0,11813.0,1,219,1912-06,train
2,S,missing,WC,Mr,10.5,0.0,0.0,30.0,14208.0,0,220,1912-04,train
3,S,missing,SOTONOQ,Mr,8.05,0.0,0.0,16.0,392089.0,1,221,1912-06,train
2,S,missing,missing,Mr,13.0,0.0,0.0,27.0,220367.0,0,222,1912-05,train
3,S,missing,missing,Mr,8.05,0.0,0.0,51.0,21440.0,0,223,1912-07,test
3,S,missing,missing,Mr,7.8958,0.0,0.0,29.69911764705882,349234.0,0,224,1912-05,train
1,S,C,missing,Mr,90.0,1.0,0.0,38.0,19943.0,1,225,1912-04,train
3,S,missing,PPP,Mr,9.35,0.0,0.0,22.0,4348.0,0,226,1912-06,train
2,S,missing,SWPP,Mr,10.5,0.0,0.0,19.0,751.0,1,227,1912-04,train
3,S,missing,A,Mr,7.25,0.0,0.0,20.5,521173.0,0,228,1912-07,test
2,S,missing,missing,Mr,13.0,0.0,0.0,18.0,236171.0,0,229,1912-04,train
3,S,missing,missing,Miss,25.4667,3.0,1.0,29.69911764705882,4133.0,0,230,1912-07,test
1,S,C,missing,Mrs,83.475,1.0,0.0,35.0,36973.0,1,231,1912-05,train
3,S,missing,missing,Mr,7.775,0.0,0.0,29.0,347067.0,0,232,1912-05,train
2,S,missing,missing,Mr,13.5,0.0,0.0,59.0,237442.0,0,233,1912-06,train
3,S,missing,missing,Miss,31.3875,4.0,2.0,5.0,347077.0,1,234,1912-04,train
2,S,missing,CA,Mr,10.5,0.0,0.0,24.0,29566.0,0,235,1912-07,test
3,S,missing,WC,Miss,7.55,0.0,0.0,29.69911764705882,6609.0,0,236,1912-04,train
2,S,missing,missing,Mr,26.0,1.0,0.0,44.0,26707.0,0,237,1912-05,train
2,S,missing,CA,Miss,26.25,0.0,2.0,8.0,31921.0,1,238,1912-04,train
2,S,missing,missing,Mr,10.5,0.0,0.0,19.0,28665.0,0,239,1912-06,train
2,S,missing,LOW,Mr,12.275,0.0,0.0,33.0,1585.0,0,240,1912-06,train
3,C,missing,missing,Miss,14.4542,1.0,0.0,29.69911764705882,2665.0,0,241,1912-06,train
3,Q,missing,missing,Miss,15.5,1.0,0.0,29.69911764705882,367230.0,1,242,1912-04,train
2,S,missing,WC,Mr,10.5,0.0,0.0,29.0,14263.0,0,243,1912-07,test
3,S,missing,STONO,Mr,7.125,0.0,0.0,22.0,23101275.0,0,244,1912-06,train
3,C,missing,missing,Mr,7.225,0.0,0.0,30.0,2694.0,0,245,1912-04,train
1,Q,C,missing,Dr,90.0,2.0,0.0,44.0,19928.0,0,246,1912-04,train
3,S,missing,missing,Miss,7.775,0.0,0.0,25.0,347071.0,0,247,1912-06,train
2,S,missing,missing,Mrs,14.5,0.0,2.0,24.0,250649.0,1,248,1912-04,train
1,S,D,missing,Mr,52.5542,1.0,1.0,37.0,11751.0,1,249,1912-04,train
2,S,missing,missing,LOW,26.0,1.0,0.0,54.0,244252.0,0,250,1912-04,train
3,S,missing,missing,Mr,7.25,0.0,0.0,29.69911764705882,362316.0,0,251,1912-07,test
3,S,G,missing,Mrs,10.4625,1.0,1.0,29.0,347054.0,0,252,1912-04,train
1,S,C,missing,Mr,26.55,0.0,0.0,62.0,113514.0,0,253,1912-04,train
3,S,missing,A,Mr,16.1,1.0,0.0,30.0,53336.0,0,254,1912-05,train
3,S,missing,missing,Mrs,20.2125,0.0,2.0,41.0,370129.0,0,255,1912-05,train
3,C,missing,missing,Mrs,15.2458,0.0,2.0,29.0,2650.0,1,256,1912-07,test
1,C,missing,PC,Mrs,79.2,0.0,0.0,29.69911764705882,17585.0,1,257,1912-05,train
1,S,B,missing,Miss,86.5,0.0,0.0,30.0,110152.0,1,258,1912-04,train
1,C,missing,PC,Miss,512.3292,0.0,0.0,35.0,17755.0,1,259,1912-07,test
2,S,missing,missing,Mrs,26.0,0.0,1.0,50.0,230433.0,1,260,1912-05,train
3,Q,missing,missing,Mr,7.75,0.0,0.0,29.69911764705882,384461.0,0,261,1912-05,train
3,S,missing,missing,Master,31.3875,4.0,2.0,3.0,347077.0,1,262,1912-05,train
1,S,E,missing,Mr,79.65,1.0,1.0,52.0,110413.0,0,263,1912-04,train
1,S,B,missing,Mr,0.0,0.0,0.0,40.0,112059.0,0,264,1912-07,test
3,Q,missing,missing,Miss,7.75,0.0,0.0,29.69911764705882,382649.0,0,265,1912-07,test
2,S,missing,CA,Mr,10.5,0.0,0.0,36.0,17248.0,0,266,1912-06,train
3,S,missing,missing,Mr,39.6875,4.0,1.0,16.0,3101295.0,0,267,1912-06,train
3,S,missing,missing,Mr,7.775,1.0,0.0,25.0,347083.0,1,268,1912-07,test
1,S,C,PC,Mrs,153.4625,0.0,1.0,58.0,17582.0,1,269,1912-06,train
1,S,C,PC,Miss,135.6333,0.0,0.0,35.0,17760.0,1,270,1912-04,train
1,S,missing,missing,Mr,31.0,0.0,0.0,29.69911764705882,113798.0,0,271,1912-05,train
3,S,missing,LINE,Mr,0.0,0.0,0.0,25.0,0.0,1,272,1912-06,train
2,S,missing,missing,Mrs,19.5,0.0,1.0,41.0,250644.0,1,273,1912-04,train
1,C,C,PC,Mr,29.7,0.0,1.0,37.0,17596.0,0,274,1912-04,train
3,Q,missing,missing,Miss,7.75,0.0,0.0,29.69911764705882,370375.0,1,275,1912-04,train
1,S,D,missing,Miss,77.9583,1.0,0.0,63.0,13502.0,1,276,1912-06,train
3,S,missing,missing,Miss,7.75,0.0,0.0,45.0,347073.0,0,277,1912-06,train
2,S,missing,missing,Mr,0.0,0.0,0.0,29.69911764705882,239853.0,0,278,1912-07,test
3,Q,missing,missing,Master,29.125,4.0,1.0,7.0,382652.0,0,279,1912-07,test
3,S,missing,CA,Mrs,20.25,1.0,1.0,35.0,2673.0,1,280,1912-06,train
3,Q,missing,missing,Mr,7.75,0.0,0.0,65.0,336439.0,0,281,1912-07,test
3,S,missing,missing,Mr,7.8542,0.0,0.0,28.0,347464.0,0,282,1912-04,train
3,S,missing,missing,Mr,9.5,0.0,0.0,16.0,345778.0,0,283,1912-04,train
3,S,missing,A,Mr,8.05,0.0,0.0,19.0,510482.0,1,284,1912-06,train
1,S,A,missing,Mr,26.0,0.0,0.0,29.69911764705882,113056.0,0,285,1912-07,test
3,C,missing,missing,Mr,8.6625,0.0,0.0,33.0,349239.0,0,286,1912-04,train
3,S,missing,missing,Mr,9.5,0.0,0.0,30.0,345774.0,1,287,1912-06,train
3,S,missing,missing,Mr,7.8958,0.0,0.0,22.0,349206.0,0,288,1912-05,train
2,S,missing,missing,Mr,13.0,0.0,0.0,42.0,237798.0,1,289,1912-07,test
3,Q,missing,missing,Miss,7.75,0.0,0.0,22.0,370373.0,1,290,1912-06,train
1,S,missing,missing,Miss,78.85,0.0,0.0,26.0,19877.0,1,291,1912-06,train
1,C,B,missing,Mrs,91.0792,1.0,0.0,19.0,11967.0,1,292,1912-05,train
