,Pclass,Embarked,cabine_prefix,Ticket_str,NameTitle,SibSp,Parch,Age_Mean,Ticket_int,Survived,Predict
288,2,S,missing,missing,Mr,0,0,42,237798,0,0
300,3,Q,missing,missing,Miss,0,0,29,9234,0,0
304,3,S,missing,A,Mr,0,0,29,52466,0,0
319,1,C,E,missing,Mrs,1,1,40,16966,0,0
328,3,S,missing,missing,Mrs,1,1,31,363291,0,0
329,1,C,B,missing,Miss,0,1,16,111361,0,0
350,3,S,missing,missing,Mr,0,0,23,7267,0,0
356,1,S,E,missing,Miss,0,1,22,113505,0,0
357,2,S,missing,missing,Miss,0,0,38,237671,0,0
359,3,Q,missing,missing,Miss,0,0,29,330980,0,0
360,3,S,missing,missing,Mr,1,4,40,347088,0,0
362,3,C,missing,missing,Mrs,0,1,45,2691,0,0
366,1,C,D,missing,Mrs,1,0,60,110813,0,0
368,3,Q,missing,missing,Miss,0,0,29,14313,0,0
377,1,C,C,missing,Mr,0,2,27,113503,0,0
378,3,C,missing,missing,Mr,0,0,20,2648,0,0
382,3,S,missing,STONO,Mr,0,0,32,23101293,0,0
386,3,S,missing,CA,Master,5,2,1,2144,0,0
390,1,S,B,missing,Mr,1,2,36,113760,0,0
391,3,S,missing,missing,Mr,0,0,21,350034,0,0
393,1,C,D,missing,Miss,1,0,23,35273,0,0
407,2,S,missing,missing,Master,1,1,3,29106,0,0
410,3,S,missing,missing,Mr,0,0,29,349222,0,0
414,3,S,missing,STONO,Mr,0,0,44,23101269,0,0
417,2,S,missing,missing,Miss,0,2,18,250652,0,0
418,2,S,missing,missing,Mr,0,0,30,28228,0,0
420,3,C,missing,missing,Mr,0,0,29,349254,0,0
430,1,S,C,missing,Mr,0,0,28,110564,0,0
432,2,S,missing,SCAH,Mrs,1,0,42,3085,0,0
433,3,S,missing,STONO,Mr,0,0,17,23101274,0,0
434,1,S,E,missing,Mr,1,0,50,13507,0,0
437,2,S,missing,missing,Mrs,2,3,24,29106,0,0
439,2,S,missing,CA,Mr,0,0,31,18723,0,0
442,3,S,missing,missing,Mr,1,0,25,347076,0,0
443,2,S,missing,missing,Ms,0,0,28,230434,0,0
448,3,C,missing,missing,Miss,2,1,5,2666,0,0
451,3,S,missing,missing,Mr,1,0,29,65303,0,0
464,3,S,missing,LOW,Mr,0,0,29,2816,0,0
467,1,S,missing,missing,Mr,0,0,56,113792,0,0
468,3,Q,missing,missing,Mr,0,0,29,36209,0,0
471,3,S,missing,missing,Mr,0,0,38,315089,0,0
483,3,S,missing,missing,Mrs,0,0,63,4134,0,0
488,3,S,missing,A,Mr,0,0,30,518509,0,0
489,3,S,missing,CA,Master,1,1,9,37671,0,0
492,1,S,C,missing,Mr,0,0,55,113787,0,0
494,3,S,missing,A,Mr,0,0,21,445380,0,0
496,1,C,D,missing,Miss,1,0,54,36947,0,0
497,3,S,missing,CA,Mr,0,0,29,6212,0,0
502,3,Q,missing,missing,Miss,0,0,29,330909,0,0
503,3,S,missing,missing,Miss,0,0,37,4135,0,0
506,2,S,missing,missing,Mrs,0,2,33,26360,0,0
510,3,Q,missing,missing,Mr,0,0,29,382651,0,0
511,3,S,missing,SOTONOQ,Mr,0,0,29,3101316,0,0
512,1,S,E,PC,Mr,0,0,36,17473,0,0
515,1,S,D,missing,Mr,0,0,47,36967,0,0
519,3,S,missing,missing,Mr,0,0,32,349242,0,0
521,3,S,missing,missing,Mr,0,0,22,349252,0,0
528,3,S,missing,missing,Mr,0,0,39,3101296,0,0
531,3,C,missing,missing,Mr,0,0,29,2641,0,0
533,3,C,missing,missing,Mrs,0,2,29,2668,0,0
535,2,S,missing,FCC,Miss,0,2,7,13529,0,0
539,1,C,B,missing,Miss,0,2,22,13568,0,0
543,2,S,missing,missing,Mr,1,0,32,2908,0,0
548,3,S,missing,missing,Mr,1,1,33,363291,0,0
559,3,S,missing,missing,Mrs,1,0,36,345572,0,0
566,3,S,missing,missing,Mr,0,0,19,349205,0,0
567,3,S,missing,missing,Mrs,0,4,29,349909,0,0
569,3,S,missing,missing,Mr,0,0,32,350417,0,0
576,2,S,missing,missing,Miss,0,0,34,243880,0,0
578,3,C,missing,missing,Mrs,1,0,29,2689,0,0
584,3,C,missing,missing,Mr,0,0,29,3411,0,0
587,1,C,B,missing,Mr,1,1,60,13567,0,0
591,1,C,D,missing,Mrs,1,0,52,36947,0,0
594,2,S,missing,SCAH,Mr,1,0,37,29037,0,0
602,1,S,missing,missing,Mr,0,0,29,113796,0,0
604,1,C,missing,missing,Mr,0,0,35,111426,0,0
612,3,Q,missing,missing,Miss,1,0,29,367230,0,0
613,3,Q,missing,missing,Mr,0,0,29,370377,0,0
620,3,C,missing,missing,Mr,1,0,27,2659,0,0
622,3,C,missing,missing,Mr,1,1,20,2653,0,0
623,3,S,missing,missing,Mr,0,0,21,350029,0,0
624,3,S,missing,missing,Mr,0,0,21,54636,0,0
629,3,Q,missing,missing,Mr,0,0,29,334912,0,0
630,1,S,A,missing,Mr,0,0,80,27042,0,0
632,1,C,B,missing,Dr,0,0,32,13214,0,0
635,2,S,missing,missing,Miss,0,0,28,237668,0,0
642,3,S,missing,missing,Miss,3,2,2,347088,0,0
644,3,C,missing,missing,Miss,2,1,0,2666,0,0
647,1,C,A,missing,Col,0,0,56,13213,0,0
652,3,S,missing,missing,Mr,0,0,21,8475,0,0
655,2,S,missing,SOC,Mr,2,0,24,14879,0,0
659,1,C,D,missing,Mr,0,2,58,35273,0,0
668,3,S,missing,A,Mr,0,0,43,53536,0,0
672,2,S,missing,CA,Mr,0,0,70,24580,0,0
676,3,S,missing,missing,Mr,0,0,24,342826,0,0
677,3,S,missing,missing,Miss,0,0,18,4138,0,0
686,3,S,missing,missing,Mr,4,1,14,3101295,0,0
689,1,S,B,missing,Miss,0,1,15,24160,0,0
691,3,C,missing,missing,Miss,0,1,4,349256,0,0
701,1,S,E,PC,Mr,0,0,35,17475,0,0
705,2,S,missing,missing,Mr,0,0,39,250655,0,0
712,1,S,C,missing,Mr,1,0,48,19996,0,0
714,2,S,missing,missing,Mr,0,0,52,250647,0,0
715,3,S,F,missing,Mr,0,0,19,348124,0,0
724,1,S,E,missing,Mr,1,0,27,113806,0,0
730,1,S,B,missing,Miss,0,0,29,24160,0,0
734,2,S,missing,missing,Mr,0,0,23,233639,0,0
739,3,S,missing,missing,Mr,0,0,29,349218,0,0
740,1,S,D,missing,Mr,0,0,29,16988,0,0
743,3,S,missing,missing,Mr,1,0,24,376566,0,0
749,3,Q,missing,missing,Mr,0,0,31,335097,0,0
752,3,S,missing,missing,Mr,0,0,33,345780,0,0
759,1,S,B,missing,Countess,0,0,33,110152,0,0
772,2,S,E,LOW,Mrs,0,0,57,3,0,0
774,2,S,missing,missing,Mrs,1,3,54,29105,0,0
775,3,S,missing,missing,Mr,0,0,18,347078,0,0
777,3,S,missing,missing,Miss,0,0,5,364516,0,0
782,1,S,D,missing,Mr,0,0,29,113501,0,0
788,3,S,missing,CA,Master,1,2,1,2315,0,0
790,3,Q,missing,missing,Mr,0,0,29,12460,0,0
800,2,S,missing,missing,Mr,0,0,34,250647,0,0
812,2,S,missing,missing,Mr,0,0,35,28206,0,0
815,1,S,B,missing,Mr,0,0,29,112058,0,0
819,3,S,missing,missing,Master,3,2,10,347088,0,0
821,3,S,missing,missing,Mr,0,0,27,315098,0,0
822,1,S,missing,missing,LOW,0,0,38,19972,0,0
825,3,Q,missing,missing,Mr,0,0,29,368323,0,0
828,3,Q,missing,missing,Mr,0,0,29,367228,0,0
831,2,S,missing,missing,Master,1,1,0,29106,0,0
832,3,C,missing,missing,Mr,0,0,29,2671,0,0
834,3,S,missing,missing,Mr,0,0,18,2223,0,0
835,1,C,E,PC,Miss,1,1,39,17756,0,0
838,3,S,missing,missing,Mr,0,0,32,1601,0,0
847,3,C,missing,missing,Mr,0,0,35,349213,0,0
848,2,S,missing,missing,LOW,0,1,28,248727,0,0
850,3,S,missing,missing,Master,4,2,4,347082,0,0
853,1,S,D,PC,Miss,0,1,16,17592,0,0
858,3,C,missing,missing,Mrs,0,3,24,2666,0,0
861,2,S,missing,missing,Mr,1,0,21,28134,0,0
862,1,S,D,missing,Mrs,0,0,48,17466,0,0
868,3,S,missing,missing,Mr,0,0,29,345777,0,0
870,3,S,missing,missing,Mr,0,0,26,349248,0,0
873,3,S,missing,missing,Mr,0,0,47,345765,0,0
875,3,C,missing,missing,Miss,0,0,15,2667,0,0
876,3,S,missing,missing,Mr,0,0,20,7534,0,0
878,3,S,missing,missing,Mr,0,0,29,349217,0,0
881,3,S,missing,missing,Mr,0,0,33,349257,0,0
889,1,C,C,missing,Mr,0,0,26,111369,0,0
